label,message
spam,Your recharge request of $25 is pending. Please complete the verification process here: [malicious link].
ham,Congratulations on reaching your rewards milestone! Redeem your points for discounts on your next order.
ham,Don't forget to bring your assignment.
ham,Your recent transaction was successful. Please review the details in your account.
spam,Payment failed! Please update your card details immediately to avoid service interruption: [malicious link].
ham,Important update: There will be scheduled maintenance on our servers tomorrow from 2 AM to 4 AM.
ham,Your package is out for delivery and will arrive by the end of the day.
ham,Your mobile data usage has reached 80% of your plan. Consider upgrading for uninterrupted service.
ham,Your mobile data usage has reached 80% of your plan. Consider upgrading for uninterrupted service.
ham,Thank you for being a valued customer! Here’s a 15% discount code for your next purchase: LOYAL15.
spam,"Your OTP for transaction verification is 123456. If this wasn't you, call us now at [scam number]."
ham,Congratulations on reaching your rewards milestone! Redeem your points for discounts on your next order.
ham,Your recent transaction was successful. Please review the details in your account.
spam,"Get a 100% cashback on your next recharge! Limited time offer, click here to claim: [malicious link]."
spam,Get a free entry into our cash draw. Text WIN to 80085.
spam,Recharge your number today and receive double the data! Limited period offer: [malicious link].
spam,Urgent: Your mobile number is eligible for a free recharge of $20. Verify your details here: [malicious link].
spam,You have received a cashback of $200. Provide your bank details to credit the amount: [malicious link].
spam,IMPORTANT: Your automatic payment failed. Update your payment method now at [malicious link] to continue using our services.
ham,We’ve added new features to your account! Check them out and let us know what you think.
spam,Alert: Unusual transactions detected on your account. Log in immediately to secure your account: [malicious link].
spam,"Your recent payment of $299.99 has been flagged. If this wasn't you, please verify your details here: [malicious link]."
ham,Reminder: Your subscription will expire soon. Renew now to continue enjoying uninterrupted service.
spam,Congratulations! You’ve won a free mobile recharge worth $50. Claim now by clicking [malicious link].
spam,Payment failed! Please update your card details immediately to avoid service interruption: [malicious link].
spam,Get a free entry into our cash draw. Text WIN to 80085.
ham,Your monthly bill is ready. Please log in to your account to review and pay.
spam,Congratulations! You have won a $500 reward from [Bank Name]. Claim now by clicking [malicious link].
ham,Get rewarded! Refer a friend and earn a $10 credit towards your next purchase.
ham,Reminder: Your annual membership fee is due next week. Log in to make the payment.
ham,Your appointment is confirmed for tomorrow at 10:00 AM. Please arrive 10 minutes early.
ham,Important update: There will be scheduled maintenance on our servers tomorrow from 2 AM to 4 AM.
ham,Your monthly bill is ready. Please log in to your account to review and pay.
spam,Security Alert: Your banking password has been compromised. Reset it now at [malicious link] to secure your account.
ham,Reminder: Your subscription will expire soon. Renew now to continue enjoying uninterrupted service.
spam,Urgent! Your account has been compromised. Call now.
ham,We noticed you haven't logged in for a while. Come back and enjoy a special 10% discount on your next order!
ham,Your credit card payment is due in 3 days. Please ensure timely payment to avoid late fees.
spam,Urgent! Your account has been compromised. Call now.
ham,Let's catch up sometime next week.
spam,Recharge failed! Update your payment method to avoid service interruption: [malicious link].
ham,Special offer: Get 20% off on your next purchase! Use code SAVE20 at checkout.
ham,Don't forget to bring your assignment.
ham,Special offer: Get 20% off on your next purchase! Use code SAVE20 at checkout.
spam,Earn $500 per day working from home. Find out more.
spam,Urgent! Your account has been compromised. Call now.
spam,Earn $500 per day working from home. Find out more.
ham,Your service has been upgraded to the latest version. Enjoy the enhanced features!
ham,Thank you for your payment. Your receipt is now available in your account.
ham,Your service has been upgraded to the latest version. Enjoy the enhanced features!
spam,Congratulations! You have received a $100 payment. Claim your funds now: [malicious link].
ham,Congratulations on reaching your rewards milestone! Redeem your points for discounts on your next order.
ham,You have a new message in your account inbox. Log in to read it.
ham,Your mobile data usage has reached 80% of your plan. Consider upgrading for uninterrupted service.
